,Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
194,1,1.0,"29j Springs Road Helensville, Auckland",59.0,325000,-36.657444399999996,174.4331618,7001725,45,18,21,21,24,24,Parakai,153,10.0
195,4,2.0,"1 Beltrees Lane Pokeno, Auckland",846.0,610000,-37.0481046,174.860194,7009434,108,42,39,36,27,33,Weymouth,276,8.0
196,4,2.0,"32 Leicester Parade Somerville, Auckland",1047.0,1470000,-36.9188242,174.9314074,7009263,33,27,15,30,21,42,Somerville,168,2.0
197,5,3.0,"39c Rockfield Road Ellerslie, Auckland",375.0,1400000,-36.90441129999999,174.80423190000002,7006032,72,81,60,36,33,27,Ellerslie,306,8.0
198,3,2.0,"69 Rockfield Road, Auckland",474.0,1250000,-36.905958700000006,174.8045209,7006032,72,81,60,36,33,27,Penrose,306,8.0
199,7,2.0,"10 Roys Road Weymouth, Auckland",2931.0,1600000,-37.0513811,174.861198,7009435,72,42,24,36,33,39,Weymouth,246,9.0
200,3,2.0,"16 Percy Winstone Lane Stonefields, Auckland",261.0,1240000,-36.889430499999996,174.8342189,7006345,66,48,54,33,39,39,Stonefields,273,1.0
201,3,2.0,"16 Percy Winstone Lane Stonefields, Auckland",261.0,1240000,-36.889430499999996,174.8342189,7006345,66,48,54,33,39,39,Stonefields,273,1.0
202,3,1.0,"3 Olsen Avenue Hillsborough, Auckland",462.0,860000,-36.921234000000005,174.7544716,7007731,48,48,33,24,33,36,Hillsborough,222,6.0
203,5,3.0,"163 Orakei Road Remuera, Auckland",701.0,2450000,-36.868096200000004,174.8061183,7005969,45,24,15,27,36,33,Remuera,174,1.0
204,3,2.0,"13 Brinlack Drive Dannemora, Auckland",400.0,880000,-36.938385600000004,174.90999309999998,7009036,42,12,24,21,18,18,East Tamaki,135,5.0
205,4,2.0,"68 Tramway Road Beach Haven, Auckland",550.0,780000,-36.791673200000005,174.6900185,7002447,42,27,36,18,12,12,Beach Haven,147,3.0
206,5,2.0,"24 Moss Crescent Takanini, Auckland",650.0,950000,-37.05305070000001,174.92289350000001,7009985,27,27,18,27,36,45,Takanini,174,2.0
207,4,1.0,"5/10 Rathgar Road Henderson, Auckland",140.0,775000,-36.8690454,174.61978919999999,7003702,42,18,15,27,24,24,Henderson,153,8.0
208,3,2.0,"352l Kohimarama Road Kohimarama, Auckland",137.0,870000,-36.866926299999996,174.8451884,7006419,54,27,21,39,27,45,St Heliers,216,3.0
209,4,1.0,"65 Tirimoana Road Te Atatu South, Auckland",160.0,830000,-36.885174,174.6509948,7004159,66,51,33,24,24,27,Te Atatu South,228,7.0
